Artist,Song,PlatinumGoldFlag
Brand New Heavies,Let's Do It Again,0
Brand New Heavies,What Do You Take Me For?,0
Brandy & Ray J,Another Day in Paradise,0
Brandy,Afrodisiac,0
Brandy,Full Moon,0
Brandy,Put It Down,0
Brandy,Right Here (Departed),0
Brandy,Should I Stay Or Should I Go,0
Brandy,Talk About Our Love,0
Brandy,Turn it Up,0
Brandy,What About Us,0
Brandy,Who Is She 2 U,0
Brazillian Girls,Don't Stop,0
Brian McFadden & Delta Goodrem,Almost Here,0
Brian McFadden,Real to Me,0
Brian Setzer Orchestra,One More Night,0
Brian Wilson,Good Vibrations,0
Brian Wilson,Wonderful,0
Briskeby,Hey Baby,0
British Sea Power,Remember Me,0
Britney Spears & Madonna,Me Against the Music,0
Britney Spears,3,0
Britney Spears,And Then We Kiss,0
Britney Spears,Boys,0
Britney Spears,Break The Ice,0
Britney Spears,Chaotic,0
Britney Spears,Circus,0
Britney Spears,Criminal,0
Britney Spears,Do Somethin',0
Britney Spears,Don't Let Me Be the Last to Know,0
Britney Spears,Everytime,0
Britney Spears,Gimme More,0
Britney Spears,Hold It Against Me,0
Britney Spears,I Love Rock 'n' Roll,0
Britney Spears,I Wanna Go,0
Britney Spears,I'm a Slave 4 U,0
Britney Spears,"I'm Not a Girl, Not Yet a Woman",0
Britney Spears,If U Seek Amy,0
Britney Spears,My Perogative,0
Britney Spears,Ooh La La,0
Britney Spears,Out From Under,0
Britney Spears,Outrageous,0
Britney Spears,Overprotected,0
Britney Spears,Perfume,0
Britney Spears,Piece Of Me,0
Britney Spears,Radar,0
Britney Spears,Shattered Glass,0
Britney Spears,Someday (I Will Understand),0
Britney Spears,Til The World Ends,0
Britney Spears,Till the World Ends,0
Britney Spears,Toxic,0
Britney Spears,Up N Down,0
Britney Spears,Womanizer,0
Britney Spears,Work B**ch!,0
Britt Nicole,Believe,0
Britt Nicole,Gold,0
Bro'Sis,I Believe,0
Brooke Fraser,Something in the Water,0
Brooke,Coming Home,0
Brooke,Time After Time,0
Brooks & Dunn,Believe,0
Brothers,Don't Stop,0
Bruce Hornsby & The Range,Gonna Be Some Changes Made,0
Bruce Hornsby & The Range,The Good Life,0
Bruce Springsteen,All I'm Thinkin' About,0
Bruce Springsteen,Devils And Dust,0
Bruce Springsteen,Dream Baby Dream,0
Bruce Springsteen,Girls In Their Summer Clothes,0
Bruce Springsteen,Lonesome Day,0
Bruce Springsteen,My City Of Ruins,0
Bruce Springsteen,Pay me my money down,0
Bruce Springsteen,Radio Nowhere,0
Bruce Springsteen,Santa Claus is Coming to Town,0
Bruce Springsteen,The Long Walk Home,0
Bruce Springsteen,The Rising,0
Bruce Springsteen,The Wrestler,0
Bruce Springsteen,Waitin' on a Sunny Day,0
Bruce Springsteen,Working On A Dream,0
Bruno Mars,Count On Me,0
Bruno Mars,Gorilla,0
Bruno Mars,Grenade,0
Bruno Mars,It Will Rain,0
Bruno Mars,It's Better You Don't Understand,0
Bruno Mars,Just the Way You Are,0
Bruno Mars,Locked Out Of Heaven,0
Bruno Mars,Marry You,0
Bruno Mars,Runaway Baby,0
Bruno Mars,The Lazy Song,0
Bruno Mars,Treasure,0
Bruno Mars,When I Was Your Man,0
Bruno Mars,Young Girl,0
Bryan Adams,Flying,0
Bryan Adams,Here I Am,0
Bryan Adams,I Thought I'd Seen Everything,0
Bryan Adams,Never Gonna Break My Faith,0
Bryan Adams,Open Road,0
Bryan Ferry,"It's All Over Now, Baby Blue",0
Bryan Ferry,The Times They Are A-Changin',0
Buckcherry,Sorry,0
Bump of Chicken,Happy,0
Busta Rhymes & Estelle,World Go 'Round,0
